,0,1,2
73,WOMEN,Manish Arora X Koovs,https%3A%2F%2Fwww.koovs.com%2Fwomen%2Fbrand%2Fmanish-arora-paris-x-koovs
74,WOMEN,Manish Arora X Koovs,https%3A%2F%2Fwww.koovs.com%2Fwomen%2Fbrand%2Fmanish-arora-paris-x-koovs
75,WOMEN,Washed Denims,https%3A%2F%2Fwww.koovs.com%2Fwomen%2Ftags%2Fwashed-denim
76,WOMEN,Vintage Varsity,https%3A%2F%2Fwww.koovs.com%2Fwomen%2Ftags%2Fwestcoast-highway
77,WOMEN,Roller Disco,https%3A%2F%2Fwww.koovs.com%2Fwomen%2Ftags%2Froller-disco
78,WOMEN,Party Footwear,https%3A%2F%2Fwww.koovs.com%2Fwomen%2Ftags%2Fparty-feet
79,WOMEN,Party Footwear,https%3A%2F%2Fwww.koovs.com%2Fwomen%2Ftags%2Fparty-feet
80,WOMEN,Embellished Denims,https%3A%2F%2Fwww.koovs.com%2Fwomen%2Ftags%2Fembellished-denim
81,WOMEN,One Shoulder Edit,https%3A%2F%2Fwww.koovs.com%2Fwomen%2Ftags%2Ftrend-one-shoulder
82,WOMEN,Light Layering,https%3A%2F%2Fwww.koovs.com%2Fwomen%2Ftags%2Flight-layers
